date,ship,cruise_line,arrival,departure,time_in_port,terminal,call_type,notes,tour_time
2028-09-05,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-09-06,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-09-09,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-09-10,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-09-11,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-09-12,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-09-12,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-09-13,AIDAstella,AIDA,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-09-13,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-09-14,Sun Princess,Princess Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-09-16,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-09-17,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-09-18,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-09-19,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-09-20,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-09-22,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-09-23,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-09-24,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-09-25,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-09-26,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-09-27,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-09-30,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-10-01,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-10-02,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-10-02,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-10-03,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,07:00
2028-10-04,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,08:00
2028-10-05,Sun Princess,Princess Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:00
2028-10-07,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-10-08,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-10-09,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-10-10,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-10-10,MSC Splendida,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-10-11,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-10-12,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-10-14,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-10-15,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-10-16,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-10-17,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-10-18,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-10-21,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-10-22,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-10-22,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-10-23,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-10-24,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-10-28,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-10-29,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-10-30,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-11-05,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-11-06,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-11-08,MSC Seaview,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
